,CAGR,Volatility,Sharpe,Sortino,Max Drawdown,Pct Negative Months,Pct Large Losses,Simple Alpha,CAPM Alpha,CAPM Beta,Alpha t-stat,Final Value,Avg Annual Turnover
VALUE (SEC as-of),0.1625706413551971,0.15446036374009392,0.9230241202472738,1.1272642755338542,-0.22911752262429574,31.318681318681318,2.197802197802198,0.046162006329679005,0.04621484830824789,0.9994518957917524,0.10994489992962808,12.094527869081348,
GROWTH (Yahoo snapshot),0.15618304929318527,0.15183579183552692,0.8969100608360242,1.289820413404813,-0.2084563852311072,33.86243386243386,0.5291005291005291,0.04333937835137073,0.04142268812654524,1.0206442744603097,0.16373100899319065,12.50920677909707,0.06315789473684211
LogReg [Yahoo],0.18313800828049448,0.19242604196049537,0.8477958940356864,1.2357682447728953,-0.2734873533156783,35.1063829787234,5.319148936170213,0.06371970651769127,0.05070656584066043,1.130892807926635,0.13320390220729564,4.118735553205332,0.12631578947368421
EW (All Stocks),0.1312780361031195,0.13611794091621784,0.8175118970598805,1.1121527069520867,-0.2128983096587247,30.687830687830687,0.5291005291005291,0.018434365161304984,0.025848292773837066,0.9201461172600726,0.12301601355770814,8.370047640250604,0.06315789473684211
RF [Yahoo],0.14013994212271808,0.17210848543965596,0.6980477564201392,1.0309015556775996,-0.28502201847761677,30.851063829787233,3.1914893617021276,0.02072164035991484,0.01972351759036147,1.0100396280348332,0.056818644298643216,2.9243394123488753,0.12631578947368421
NN [Yahoo],0.14140025057578198,0.1787071560890032,0.6793250658336286,1.0037442164338337,-0.289378206226537,31.914893617021278,3.1914893617021276,0.02198194881297874,0.017450507798413728,1.0455795455586872,0.04657884877709617,2.959203897184243,0.12631578947368421
GB [SEC],0.13371355011286545,0.18717098219938563,0.6075383522384014,0.8547522216929205,-0.2280886606315704,37.234042553191486,3.1914893617021276,0.014295248350062257,0.007652245584659774,1.0668187109175495,0.015314673439828012,2.751778710867436,7.123796822372672
GB [Yahoo],0.11922980446429302,0.16345690624239517,0.6070701247491805,0.947981705875931,-0.27470387045406885,34.04255319148936,2.127659574468085,-0.00018849729851021455,0.005041114411805922,0.9473978973932466,0.013279400057417066,2.4790306129329815,0.12631578947368421
RANDOM (single run),0.09997817366255894,0.13613103879312644,0.5875087296109703,0.8270242675469563,-0.22776903544757376,34.39153439153439,0.5291005291005291,-0.012865497279255601,-0.0032693876490945406,0.8966422855449675,-0.011769269273313879,5.134702881323058,19.224561403508773
RF [SEC],0.13682435395252585,0.20573587008132413,0.5678365853547035,0.6968221857122081,-0.26087292616655267,37.234042553191486,5.319148936170213,0.01740605218972261,0.000582055458629667,1.169224342327154,0.0010384811524076975,2.8570590641300226,7.1226228467095325
NN [SEC],0.10736298039725284,0.2092079647141005,0.41758917026043335,0.48504455725675916,-0.3075958382942361,34.04255319148936,4.25531914893617,-0.012055321365550414,-0.02849449351516135,1.1653535803581943,-0.044402666663475115,2.292413914491089,1.332874267115753
VALUE (Yahoo snapshot),0.08426667792144665,0.1560713293922589,0.41177760304399946,0.518266262582399,-0.32847388806994204,38.095238095238095,1.5873015873015872,-0.02857699302036787,-0.018970721722954297,0.8965328363261953,-0.03485513002255644,3.9474550789413207,0.06315789473684211
LogReg [SEC],0.1020588656825358,0.20857017289577667,0.39343528627723534,0.4660003061742126,-0.34071894846392503,40.42553191489361,2.127659574468085,-0.017359436080267448,-0.032700191234689424,1.1543051418341732,-0.04949560055786976,2.188413647829243,1.5045160412343073
