Ticker,CIK,year,end,price,shares_outstanding,market_cap,ev,revenue,net_income,ebitda,equity,debt,cash,pb,pe,ps,ev_ebitda,roe,debt_to_equity,net_margin,target_ret_1y,target_up_1y,SymbolUsedForCIK,StooqSymbolUsed
A,0001090872,2015,2015-10-31,35.6072,,,,4038000000.0,,775000000.0,4167000000.0,0.0,2003000000.0,,,,,,0.0,,0.16634837897953236,1,A,A.US
A,0001090872,2016,2016-10-31,41.5304,,,,4202000000.0,,861000000.0,4243000000.0,0.0,2289000000.0,,,,,,0.0,,0.5764957717720032,1,A,A.US
A,0001090872,2017,2017-10-31,65.4725,,,,4472000000.0,,1053000000.0,4831000000.0,0.0,2678000000.0,,,,,,0.0,,,0,A,A.US
A,0001090872,2018,,,,,,,,1138000000.0,4567000000.0,0.0,2247000000.0,,,,,,0.0,,,0,A,A.US
A,0001090872,2019,,,,,,,,1179000000.0,4748000000.0,0.0,1382000000.0,,,,,,0.0,,,0,A,A.US
A,0001090872,2020,,,306000000.0,,,,,1154000000.0,4873000000.0,0.0,1441000000.0,,,,,,0.0,,,0,A,A.US
A,0001090872,2021,,,302000000.0,,,,,1668000000.0,5389000000.0,0.0,1484000000.0,,,,,,0.0,,,0,A,A.US
A,0001090872,2022,,,295000000.0,,,,1254000000.0,1935000000.0,5305000000.0,2733000000.0,1053000000.0,,,,,0.23638077285579642,0.5151743638077285,,,0,A,A.US
A,0001090872,2023,,,292123241.0,,,,1240000000.0,1621000000.0,5845000000.0,2735000000.0,1590000000.0,,,,,0.21214713430282292,0.4679213002566296,,,0,A,A.US
A,0001090872,2024,,,285193011.0,,,,1289000000.0,1745000000.0,5898000000.0,3345000000.0,1329000000.0,,,,,0.21854866056290267,0.5671414038657172,,,0,A,A.US
AAPL,0000320193,2015,,,5578753000.0,,,,11124000000.0,,119355000000.0,2500000000.0,21120000000.0,,,,,0.09320095513384441,0.02094591764065184,,,0,AAPL,AAPL.US
AAPL,0000320193,2016,,,5336166000.0,,,,9014000000.0,,128249000000.0,3500000000.0,20484000000.0,,,,,0.07028514842220993,0.027290661135759342,,,0,AAPL,AAPL.US
AAPL,0000320193,2017,,,5126201000.0,,,,10714000000.0,69544000000.0,134047000000.0,6496000000.0,20289000000.0,,,,,0.07992718971703955,0.04846061456056458,,,0,AAPL,AAPL.US
AAPL,0000320193,2018,2018-09-29,53.6576,4754986000.0,255141136793.6,238012136793.6,62900000000.0,14125000000.0,81801000000.0,107147000000.0,8784000000.0,25913000000.0,2.381225202699096,18.063089330520356,4.056297882251193,2.9096482536105914,0.13182823597487564,0.08198083007457045,0.22456279809220986,,0,AAPL,AAPL.US
AAPL,0000320193,2019,,,4443236000.0,,,,13686000000.0,76477000000.0,90488000000.0,10260000000.0,48844000000.0,,,,,0.15124657413137654,0.11338520024754664,,,0,AAPL,AAPL.US
AAPL,0000320193,2020,,,16976763000.0,,,,12673000000.0,77344000000.0,65339000000.0,8773000000.0,38016000000.0,,,,,0.19395766693705138,0.13426896646719416,,,0,AAPL,AAPL.US
AAPL,0000320193,2021,,,16426786000.0,,,,94680000000.0,120233000000.0,63090000000.0,9613000000.0,34940000000.0,,,,,1.5007132667617689,0.15236963068632112,,,0,AAPL,AAPL.US
AAPL,0000320193,2022,,,15943425000.0,,,,99803000000.0,130541000000.0,50672000000.0,11128000000.0,23646000000.0,,,,,1.9695887275023682,0.21960846226712977,,,0,AAPL,AAPL.US
AAPL,0000320193,2023,,,15550061000.0,,,,96995000000.0,125820000000.0,62146000000.0,114925000000.0,29965000000.0,,,,,1.5607601454639075,1.8492742895761594,,,0,AAPL,AAPL.US
AAPL,0000320193,2024,,,15116786000.0,,,,93736000000.0,134661000000.0,56950000000.0,107574000000.0,29943000000.0,,,,,1.6459350307287095,1.888920105355575,,,0,AAPL,AAPL.US
AAPL,0000320193,2025,,,14773260000.0,,,,112010000000.0,144748000000.0,73733000000.0,103028000000.0,35934000000.0,,,,,1.5191298333175105,1.3973119227482946,,,0,AAPL,AAPL.US
ABBV,0001551152,2015,,,,,,,,,3945000000.0,0.0,8399000000.0,,,,,,0.0,,,0,ABBV,ABBV.US
ABBV,0001551152,2016,,,,,,,1391000000.0,,4636000000.0,0.0,5100000000.0,,,,,0.3000431406384815,0.0,,,0,ABBV,ABBV.US
ABBV,0001551152,2017,,,,,,,52000000.0,,5097000000.0,0.0,9303000000.0,,,,,0.010202079654698843,0.0,,,0,ABBV,ABBV.US
ABBV,0001551152,2018,2018-12-31,75.9388,,,,8305000000.0,-1826000000.0,,-8446000000.0,0.0,7289000000.0,,,,,0.21619701633909544,-0.0,-0.21986754966887417,0.014682876210843299,1,ABBV,ABBV.US
ABBV,0001551152,2019,2019-12-31,77.0538,,,,8704000000.0,2801000000.0,,-8172000000.0,67233000000.0,39924000000.0,,,,,-0.34275575134605973,-8.227239353891337,0.32180606617647056,0.2772712053136899,1,ABBV,ABBV.US
ABBV,0001551152,2020,2020-12-31,98.4186,,,,13858000000.0,36000000.0,,13076000000.0,84948000000.0,8449000000.0,,,,,0.0027531355154481493,6.496482104619149,0.0025977774570645116,0.3241704311989808,1,ABBV,ABBV.US
ABBV,0001551152,2021,2021-12-31,130.323,,,,14886000000.0,4044000000.0,,15408000000.0,75962000000.0,9746000000.0,,,,,0.26246105919003115,4.930036344755971,0.27166465135026197,0.2400727423401856,1,ABBV,ABBV.US
ABBV,0001551152,2022,2022-12-31,161.61,,,,15121000000.0,2473000000.0,,17254000000.0,63128000000.0,9201000000.0,,,,,0.14332908311116263,3.6587457980758087,0.16354738443224653,-0.04108656642534503,0,ABBV,ABBV.US
ABBV,0001551152,2023,2023-12-31,154.97,,,,14301000000.0,822000000.0,,10360000000.0,59245000000.0,12814000000.0,,,,,0.07934362934362935,5.718629343629344,0.05747849800713237,0.14667354971930036,1,ABBV,ABBV.US
ABBV,0001551152,2024,2024-12-31,177.7,,,,15102000000.0,-22000000.0,,3325000000.0,66841000000.0,5524000000.0,,,,,-0.006616541353383459,20.102556390977444,-0.0014567606939478214,,0,ABBV,ABBV.US
ABNB,0001559720,2021,,,,,,,-352034000.0,514917000.0,4775713000.0,2000000000.0,6067438000.0,,,,,-0.07371339106851689,0.4187856347314003,,,0,ABNB,ABNB.US
ABNB,0001559720,2022,,,,,,,1893000000.0,1844600000.0,5560000000.0,0.0,7378000000.0,,,,,0.3404676258992806,0.0,,,0,ABNB,ABNB.US
ABNB,0001559720,2023,,,,,,,4792000000.0,,8165000000.0,0.0,6874000000.0,,,,,0.5868952847519902,0.0,,,0,ABNB,ABNB.US
ABNB,0001559720,2024,,,,,,,2648000000.0,,8412000000.0,0.0,6864000000.0,,,,,0.3147883975273419,0.0,,,0,ABNB,ABNB.US
ABT,0000001800,2015,2015-12-31,39.4239,,,,5188000000.0,767000000.0,,21211000000.0,5877000000.0,5001000000.0,,,,,0.0361604827683749,0.2770732167271699,0.14784117193523516,-0.12315879453833845,0,ABT,ABT.US
ABT,0000001800,2016,2016-12-31,34.5685,,,,5333000000.0,798000000.0,,20538000000.0,20687000000.0,18620000000.0,,,,,0.03885480572597137,1.0072548446781575,0.14963435214700918,0.5206387317933958,1,ABT,ABT.US
ABT,0000001800,2017,2017-12-31,52.5662,,,,7589000000.0,-828000000.0,,30897000000.0,28226000000.0,9407000000.0,,,,,-0.026798718322167202,0.9135514774897239,-0.10910528396363157,,0,ABT,ABT.US
ABT,0000001800,2018,,,,,,,654000000.0,,30524000000.0,19373000000.0,3844000000.0,,,,,0.021425763333770147,0.6346809068274145,,,0,ABT,ABT.US
ABT,0000001800,2019,,,,,,,1049000000.0,,31088000000.0,19215000000.0,3860000000.0,,,,,0.03374292331446217,0.6180841482243953,,,0,ABT,ABT.US
ABT,0000001800,2020,,,,,,,4495000000.0,,32784000000.0,18541000000.0,6838000000.0,,,,,0.13710956564177648,0.5655502684236213,,,0,ABT,ABT.US
ABT,0000001800,2021,,,,,,,7071000000.0,,35802000000.0,18804000000.0,9799000000.0,,,,,0.19750293279705045,0.5252220546338193,,,0,ABT,ABT.US
ABT,0000001800,2022,,,,,,,6933000000.0,,36686000000.0,19024000000.0,9882000000.0,,,,,0.18898217303603554,0.5185629395409693,,,0,ABT,ABT.US
ABT,0000001800,2023,,,,,,,5723000000.0,,38603000000.0,15759000000.0,6896000000.0,,,,,0.14825272647203586,0.4082325207885398,,,0,ABT,ABT.US
ABT,0000001800,2024,,,,,,,13402000000.0,,47664000000.0,15625000000.0,7616000000.0,,,,,0.2811765693185633,0.32781554212823094,,,0,ABT,ABT.US
ACGL,0000947484,2015,2015-12-31,23.25,122627783.0,2851095954.75,2297769954.75,3936590000.0,537738000.0,,6204881000.0,0.0,553326000.0,0.45949244711542414,5.302016883221941,0.7242552449581998,,0.08666370878023286,0.0,0.1365999507187693,0.2371182795698925,1,ACGL,ACGL.US
ACGL,0000947484,2016,2016-12-31,28.763,122787517.0,3531737351.471,2688795351.471,4463556000.0,692738000.0,,8253718000.0,0.0,842942000.0,0.4278965372297673,5.098229563660432,0.7912384994096635,,0.08393041778262839,0.0,0.15519868015546348,0.05194173069568553,1,ACGL,ACGL.US
ACGL,0000947484,2017,2017-12-31,30.257,130977939.0,3962999500.323,3356800500.323,5627375000.0,619278000.0,,9196602000.0,0.0,606199000.0,0.43091997460833903,6.399386867163051,0.7042359004550078,,0.06733769711900113,0.0,0.11004740220795664,-0.11689856892619899,0,ACGL,ACGL.US
ACGL,0000947484,2018,2018-12-31,26.72,402454834.0,10753593164.48,10107037164.48,5450568000.0,757971000.0,,9439827000.0,0.0,646556000.0,1.1391726950589243,14.187341157484916,1.972930741251187,,0.08029500964371487,0.0,0.1390627545606256,0.6051646706586826,1,ACGL,ACGL.US
ACGL,0000947484,2019,2019-12-31,42.89,405619201.0,17397007530.89,16670777530.89,6928200000.0,1636319000.0,,11497371000.0,0.0,726230000.0,1.513129178043398,10.631794613941413,2.5110429160373546,,0.14232114454687075,0.0,0.23618241390260097,0.03637211471205415,1,ACGL,ACGL.US
ACGL,0000947484,2020,2021-12-31,44.45,378923894.0,16843167088.300001,15984499088.300001,9249980000.0,2156849000.0,,13545896000.0,0.0,858668000.0,1.2434147647597473,7.809154506550993,1.8208868655175472,,0.15922527383939755,0.0,0.23317336902350058,0.4123734533183352,1,ACGL,ACGL.US
ACGL,0000947484,2022,2022-12-31,62.78,370345997.0,23250321691.66,22395203691.66,9614808000.0,1476933000.0,,12910073000.0,0.0,855118000.0,1.800944246532146,15.7422995434864,2.4181784692590846,,0.11440159943324875,0.0,0.15361024369909415,0.1830200700860145,1,ACGL,ACGL.US
ACGL,0000947484,2023,2023-12-31,74.27,373400000.0,27732418000.0,26815418000.0,13634000000.0,4443000000.0,,18353000000.0,0.0,917000000.0,1.511056394050019,6.241822642358766,2.0340632242922108,,0.24208576254563285,0.0,0.3258764852574446,0.2434361114851218,1,ACGL,ACGL.US
ACGL,0000947484,2024,2024-12-31,92.35,376400000.0,34760540000.0,33781540000.0,17440000000.0,4312000000.0,,20820000000.0,0.0,979000000.0,1.6695744476464938,8.061349721706865,1.993150229357798,,0.20710854947166185,0.0,0.24724770642201835,,0,ACGL,ACGL.US
