Date,close
2005-02-25,13.38
2005-02-28,13.01
2005-03-01,13.18
2005-03-02,13.5
2005-03-03,14.22
2005-03-04,14.52
2005-03-07,14.3
2005-03-08,13.82
2005-03-09,14.15
2005-03-10,13.8
2005-03-11,13.65
2005-03-14,13.41
2005-03-15,13.51
2005-03-16,13.48
2005-03-17,12.92
2005-03-18,12.52
2005-03-21,12.37
2005-03-22,12.43
2005-03-23,12.08
2005-03-24,13.91
2005-03-28,12.54
2005-03-29,11.99
2005-03-30,12.44
2005-03-31,12.0
2005-04-01,10.42
2005-04-04,10.09
2005-04-05,9.68
2005-04-06,9.57
2005-04-07,9.4
2005-04-08,9.16
2005-04-11,9.27
2005-04-12,8.85
2005-04-13,8.57
2005-04-14,8.23
2005-04-15,8.09
2005-04-18,7.97
2005-04-19,7.9
2005-04-20,7.64
2005-04-21,9.53
2005-04-22,8.81
2005-04-25,9.21
2005-04-26,9.08
2005-04-27,9.16
2005-04-28,8.81
2005-04-29,8.64
2005-05-02,8.38
2005-05-03,8.56
2005-05-04,8.83
2005-05-05,9.22
2005-05-06,9.44
2005-05-09,10.94
2005-05-10,10.49
2005-05-11,10.66
2005-05-12,11.2
2005-05-13,11.38
2005-05-16,11.68
2005-05-17,10.33
2005-05-18,10.54
2005-05-19,11.2
2005-05-20,11.12
2005-05-23,10.84
2005-05-24,11.5
2005-05-25,11.21
2005-05-26,11.22
2005-05-27,10.97
2005-05-31,11.34
2005-06-01,11.27
2005-06-02,11.4
2005-06-03,11.1
2005-06-06,11.18
2005-06-07,11.06
2005-06-08,10.67
2005-06-09,10.97
2005-06-10,10.84
2005-06-13,11.22
2005-06-14,11.11
2005-06-15,10.95
2005-06-16,10.83
2005-06-17,10.65
2005-06-20,10.52
2005-06-21,10.77
2005-06-22,10.63
2005-06-23,10.41
2005-06-24,10.35
2005-06-27,10.17
2005-06-28,10.25
2005-06-29,10.25
2005-06-30,10.04
2005-07-01,10.1
2005-07-05,9.75
2005-07-06,9.94
2005-07-07,9.9
2005-07-08,10.2
2005-07-11,10.06
2005-07-12,10.17
2005-07-13,10.17
2005-07-14,10.24
2005-07-15,10.0
2005-07-18,10.1
2005-07-19,10.03
2005-07-20,9.67
2005-07-21,9.7
2005-07-22,9.59
2005-07-25,9.66
2005-07-26,9.58
2005-07-27,9.96
2005-07-28,9.98
2005-07-29,9.72
2005-08-01,9.65
