Date,close
2024-07-10,45.83
2024-07-11,46.87
2024-07-12,49.08
2024-07-15,48.84
2024-07-16,49.26
2024-07-17,47.85
2024-07-18,46.82
2024-07-19,46.53
2024-07-22,48.0
2024-07-23,49.11
2024-07-24,48.86
2024-07-25,47.69
2024-07-26,48.81
2024-07-29,47.55
2024-07-30,46.74
2024-07-31,44.84
2024-08-01,43.32
2024-08-02,41.78
2024-08-05,40.04
2024-08-06,40.33
2024-08-07,39.06
2024-08-08,39.31
2024-08-09,38.96
2024-08-12,38.85
2024-08-13,40.35
2024-08-14,41.21
2024-08-15,42.74
2024-08-16,42.91
2024-08-19,43.49
2024-08-20,43.01
2024-08-21,44.02
2024-08-22,43.79
2024-08-23,45.33
2024-08-26,46.18
2024-08-27,46.89
2024-08-28,47.07
2024-08-29,47.17
2024-08-30,47.42
2024-09-03,45.7
2024-09-04,45.57
2024-09-05,45.34
2024-09-06,44.72
2024-09-09,44.47
2024-09-10,43.32
2024-09-11,43.53
2024-09-12,44.59
2024-09-13,44.92
2024-09-16,46.73
2024-09-17,47.33
2024-09-18,47.86
2024-09-19,49.02
2024-09-20,47.41
2024-09-23,46.74
2024-09-24,47.5
2024-09-25,47.8
2024-09-26,49.51
2024-09-27,50.09
2024-09-30,49.42
2024-10-01,48.77
2024-10-02,47.83
2024-10-03,46.63
2024-10-04,46.76
2024-10-07,46.45
2024-10-08,46.12
2024-10-09,46.06
2024-10-10,45.4
2024-10-11,45.6
2024-10-14,45.29
2024-10-15,44.44
2024-10-16,45.39
2024-10-17,43.42
2024-10-18,44.35
2024-10-21,44.2
2024-10-22,44.54
2024-10-23,46.65
2024-10-24,45.86
2024-10-25,45.84
2024-10-28,45.29
2024-10-29,44.71
2024-10-30,50.07
2024-10-31,51.5
2024-11-01,51.46
2024-11-04,51.75
2024-11-05,51.82
2024-11-06,53.21
2024-11-07,53.45
2024-11-08,52.39
2024-11-11,52.31
2024-11-12,50.66
2024-11-13,50.99
2024-11-14,50.35
2024-11-15,51.66
2024-11-18,53.44
2024-11-19,53.16
2024-11-20,55.7
2024-11-21,56.37
2024-11-22,56.64
2024-11-25,56.25
2024-11-26,55.53
2024-11-27,54.76
2024-11-29,55.02
2024-12-02,55.11
2024-12-03,55.22
2024-12-04,54.57
2024-12-05,54.77
2024-12-06,54.61
2024-12-09,54.34
2024-12-10,53.43
2024-12-11,53.48
2024-12-12,53.45
2024-12-13,53.73
2024-12-16,54.7
2024-12-17,53.93
2024-12-18,51.74
2024-12-19,51.18
2024-12-20,53.28
2024-12-23,53.93
2024-12-24,54.53
2024-12-26,54.15
2024-12-27,54.35
2024-12-30,53.62
2024-12-31,53.86
2025-01-02,53.6
2025-01-03,52.3
2025-01-06,53.35
2025-01-07,52.11
2025-01-08,51.93
2025-01-10,51.77
2025-01-13,52.16
2025-01-14,52.93
2025-01-15,52.95
2025-01-16,52.22
2025-01-17,52.96
2025-01-21,54.99
2025-01-22,55.35
2025-01-23,55.27
2025-01-24,56.02
2025-01-27,54.88
2025-01-28,54.34
2025-01-29,53.56
2025-01-30,53.26
2025-01-31,53.09
2025-02-03,53.52
2025-02-04,53.85
2025-02-05,54.54
2025-02-06,54.86
2025-02-07,54.0
2025-02-10,53.53
2025-02-11,53.64
2025-02-12,50.93
2025-02-13,54.65
2025-02-14,53.65
2025-02-18,55.3
2025-02-19,55.32
2025-02-20,54.1
2025-02-21,53.16
2025-02-24,53.85
2025-02-25,52.99
2025-02-26,53.52
2025-02-27,51.69
2025-02-28,52.07
2025-03-03,50.1
2025-03-04,46.69
2025-03-05,48.29
2025-03-06,46.74
2025-03-07,46.53
2025-03-10,43.19
2025-03-11,43.56
2025-03-12,44.25
2025-03-13,43.43
2025-03-14,44.27
2025-03-17,45.24
2025-03-18,45.07
2025-03-19,46.0
2025-03-20,45.71
2025-03-21,44.21
2025-03-24,45.02
2025-03-25,45.57
2025-03-26,45.28
2025-03-27,45.4
2025-03-28,44.51
2025-03-31,45.06
2025-04-01,45.62
2025-04-02,47.06
2025-04-03,42.71
2025-04-04,41.06
2025-04-07,39.41
2025-04-08,38.19
2025-04-09,42.68
2025-04-10,40.27
2025-04-11,40.8
2025-04-14,41.44
2025-04-15,41.11
2025-04-16,40.77
2025-04-17,41.35
2025-04-21,40.78
2025-04-22,41.54
2025-04-23,41.92
2025-04-24,42.45
2025-04-25,42.23
2025-04-28,42.55
2025-04-29,42.35
2025-04-30,42.02
2025-05-01,40.47
2025-05-02,41.28
2025-05-05,39.62
2025-05-06,39.56
2025-05-07,40.0
2025-05-08,41.7
2025-05-09,41.9
2025-05-12,45.0
2025-05-13,45.98
2025-05-14,46.61
2025-05-15,46.63
2025-05-16,46.64
2025-05-19,46.39
2025-05-20,45.94
2025-05-21,44.49
2025-05-22,44.48
2025-05-23,43.74
2025-05-27,44.39
2025-05-28,43.51
2025-05-29,43.91
2025-05-30,43.33
2025-06-02,42.62
2025-06-03,42.81
2025-06-04,42.59
2025-06-05,43.07
2025-06-06,43.32
2025-06-09,43.99
2025-06-10,43.81
2025-06-11,43.39
2025-06-12,43.0
2025-06-13,41.98
2025-06-16,43.25
2025-06-17,42.79
2025-06-18,42.39
2025-06-20,42.35
2025-06-23,42.42
2025-06-24,43.5
2025-06-25,42.48
2025-06-26,42.68
2025-06-27,43.06
2025-06-30,43.15
2025-07-01,45.85
2025-07-02,47.18
2025-07-03,48.03
2025-07-07,46.84
2025-07-08,47.12
2025-07-09,47.24
2025-07-10,48.02
2025-07-11,47.2
2025-07-14,46.39
2025-07-15,45.4
2025-07-16,45.87
2025-07-17,46.08
2025-07-18,44.86
2025-07-21,45.44
2025-07-22,46.24
2025-07-23,47.81
2025-07-24,48.03
2025-07-25,48.85
2025-07-28,48.53
2025-07-29,48.2
2025-07-30,47.36
2025-07-31,44.38
2025-08-01,44.35
2025-08-04,44.06
2025-08-05,44.17
2025-08-06,42.63
2025-08-07,43.8
2025-08-08,43.63
2025-08-11,43.42
2025-08-12,44.27
2025-08-13,45.12
2025-08-14,43.72
2025-08-15,42.69
2025-08-18,42.92
2025-08-19,43.17
2025-08-20,41.95
2025-08-21,43.69
2025-08-22,45.7
2025-08-25,45.93
2025-08-26,46.3
2025-08-27,45.66
2025-08-28,46.39
2025-08-29,47.36
2025-09-02,47.11
2025-09-03,46.95
2025-09-04,46.17
2025-09-05,46.91
2025-09-08,46.69
2025-09-09,45.36
2025-09-10,45.27
2025-09-11,45.64
2025-09-12,44.27
2025-09-15,44.47
2025-09-16,44.28
2025-09-17,44.04
2025-09-18,44.17
2025-09-19,43.82
2025-09-22,43.48
2025-09-23,43.81
2025-09-24,43.25
2025-09-25,42.28
2025-09-26,42.13
2025-09-29,42.21
2025-09-30,42.57
2025-10-01,42.66
2025-10-02,41.88
2025-10-03,41.98
2025-10-06,40.31
2025-10-07,41.18
2025-10-08,43.3
2025-10-09,42.89
2025-10-10,40.45
2025-10-13,41.53
2025-10-14,42.23
2025-10-15,41.76
2025-10-16,41.32
2025-10-17,41.4
2025-10-20,42.23
2025-10-21,42.51
2025-10-22,42.66
2025-10-23,43.02
2025-10-24,43.07
2025-10-27,43.4
2025-10-28,43.09
2025-10-29,37.84
2025-10-30,36.04
2025-10-31,36.92
2025-11-03,36.57
2025-11-04,36.31
2025-11-05,36.05
2025-11-06,35.72
2025-11-07,35.81
2025-11-10,35.5
2025-11-11,35.84
2025-11-12,35.38
2025-11-13,35.08
2025-11-14,34.29
2025-11-17,33.92
2025-11-18,33.82
2025-11-19,33.67
